ID,Condition,1st,2nd,3rd,4th,5th
Cage1,Demonstrator,477.805,166.6666667,128.6666667,106.5,114.1666667
Cage2,Demonstrator,293.84,128,134,66,55.66666667
Cage3,Demonstrator,445.9683333,145.6666667,139.8333333,174.3333333,122
Cage4,Demonstrator,181.035,81.5,105.1666667,87.66666667,95.16666667
Cage5,Demonstrator,252.6666667,399.3333333,159.8333333,145.8333333,117.3333333
Cage6,Demonstrator,219.3333333,249.3333333,126.3333333,60.66666667,78.33333333
Cage7,Demonstrator,297.1666667,248.8333333,105.5,113.1666667,148.5
Cage8,Demonstrator,314.5,123.8333333,129.3333333,86.33333333,79.83333333
Cage9,Demonstrator,376.6666667,133.8333333,212.6666667,132.8333333,168.3333333
Cage10,Demonstrator,318.1666667,171.5,114.8333333,108,83
Cage11,Demonstrator,766.3333333,173.3333333,143.6666667,101.5,71.83333333
Cage12,Demonstrator,272.8333333,151.5,130.6666667,80.83333333,93.16666667
Cage13,Demonstrator,842.6666667,1744.833333,506.3333333,291.6666667,122
Cage14,Demonstrator,445.5,242.6666667,110,106.6666667,98.83333333
Cage1,Observer,289.0983333,139.5,94.16666667,46.33333333,45.16666667
Cage2,Observer,224.5283333,151.8333333,79.66666667,41.66666667,54.5
Cage3,Observer,277.305,129.3333333,72.5,76.33333333,65.33333333
Cage4,Observer,240.72,98.66666667,80.66666667,60.33333333,54.5
Cage5,Observer,215.5,82.83333333,42.33333333,51,66.16666667
Cage6,Observer,238.1666667,108,117.5,65.33333333,65.5
Cage7,Observer,330,311.8333333,108.8333333,66.66666667,70
Cage8,Observer,474.8333333,145.1666667,110.6666667,102.1666667,104.5
Cage9,Observer,306.1666667,138.6666667,93.66666667,107.8333333,87.16666667
Cage10,Observer,308,151.3333333,121.8333333,47.33333333,53.83333333
Cage11,Observer,374.8333333,163.1666667,97.33333333,71.33333333,22.16666667
Cage12,Observer,280,181.5,68.33333333,32.83333333,29.83333333
Cage13,Observer,205.1666667,134.3333333,62.33333333,67.33333333,87.5
Cage14,Observer,205.8333333,126.3333333,69.83333333,67.33333333,28.33333333
Cage15,Individual,248.5616667,158.1666667,101.6666667,97.33333333,49.33333333
Cage15,Individual,258.4966667,162.5,120.3333333,103.6666667,142.6666667
Cage16,Individual,271.0533333,187.5,191.5,105.6666667,109.8333333
Cage16,Individual,334.99,124.3333333,116.5,90.16666667,82.66666667
Cage17,Individual,322.6666667,166.3333333,128.5,129,93.5
Cage17,Individual,292.1666667,169.6666667,160.3333333,86.83333333,99.66666667
Cage18,Individual,358.6666667,380.5,159.6666667,189,171.5
Cage18,Individual,199.3333333,160.3333333,98,71.66666667,95.33333333
Cage19,Individual,192.6666667,222.6666667,128.1666667,67.66666667,80
Cage19,Individual,425.5,258,268.5,119.8333333,86.33333333
Cage20,Individual,322,135.5,81,91.83333333,83.16666667
Cage20,Individual,292.6666667,150.1666667,122.6666667,72.66666667,62.16666667
Cage21,Individual,249.3333333,110.5,103,108.6666667,108.3333333
Cage21,Individual,198.8333333,160.8333333,94.66666667,90.33333333,82.83333333
Cage22,Waiting,257.5,168.3333333,184.5,94.16666667,121.1666667
Cage22,Waiting,366,422.1666667,132,135,84.33333333
Cage23,Waiting,392.5,223.5,162.1666667,120,97.83333333
Cage23,Waiting,397.8333333,202.1666667,123.3333333,114.3333333,129.5
Cage24,Waiting,205.3333333,119.3333333,100.8333333,76,73.66666667
Cage24,Waiting,192.3333333,101.8333333,77.33333333,84.16666667,159
Cage25,Waiting,306.8333333,178.8333333,70.83333333,78,87.66666667
Cage25,Waiting,313,167.6666667,139.8333333,90.16666667,79.83333333
Cage26,Waiting,417.1666667,164.3333333,113.3333333,82.33333333,91
Cage26,Waiting,373.1666667,121,76,57,88.66666667
Cage27,Waiting,212.3333333,151.3333333,111.8333333,85.5,92.83333333
Cage27,Waiting,275.1666667,200.1666667,153.6666667,132.6666667,112.6666667
Cage28,Waiting,345.6666667,172.1666667,171,135.5,79.5
Cage28,Waiting,349.1666667,212.5,166.6666667,119.3333333,93
